sound_id,game_zone,source_type,sub_category,audioset_class,fname,file_path,source_dataset,original_fname,duration_sec,ambiguous
Forest_79080,Forest,Biological,Livestock_and_farm_animals_and_working_animals,Livestock_and_farm_animals_and_working_animals,79080,Audio/Forest/79080,FSD50K,79080,,False
Forest_321947,Forest,Biological,Livestock_and_farm_animals_and_working_animals,Livestock_and_farm_animals_and_working_animals,321947,Audio/Forest/321947,FSD50K,321947,,False
Forest_43786,Forest,Biological,Dog,Dog,43786,Audio/Forest/43786,FSD50K,43786,,False
Forest_412310,Forest,Biological,Chewing_and_mastication,Chewing_and_mastication,412310,Audio/Forest/412310,FSD50K,412310,,False
Forest_236194,Forest,Biological,Dog,Dog,236194,Audio/Forest/236194,FSD50K,236194,,False
Forest_193878,Forest,Biological,Insect,Insect,193878,Audio/Forest/193878,FSD50K,193878,,False
Forest_429899,Forest,Biological,Insect,Insect,429899,Audio/Forest/429899,FSD50K,429899,,False
Forest_34313,Forest,Biological,Bird,Bird,34313,Audio/Forest/34313,FSD50K,34313,,False
Forest_368083,Forest,Biological,Accelerating_and_revving_and_vroom,Accelerating_and_revving_and_vroom,368083,Audio/Forest/368083,FSD50K,368083,,False
Forest_65483,Forest,Biological,Cricket,Cricket,65483,Audio/Forest/65483,FSD50K,65483,,False
Forest_269871,Forest,Biological,Livestock_and_farm_animals_and_working_animals,Livestock_and_farm_animals_and_working_animals,269871,Audio/Forest/269871,FSD50K,269871,,False
Forest_221672,Forest,Biological,Bird,Bird,221672,Audio/Forest/221672,FSD50K,221672,,False
Forest_236089,Forest,Biological,Bark,Bark,236089,Audio/Forest/236089,FSD50K,236089,,False
Forest_69080,Forest,Biological,Bird_vocalization_and_bird_call_and_bird_song,Bird_vocalization_and_bird_call_and_bird_song,69080,Audio/Forest/69080,FSD50K,69080,,False
Forest_426563,Forest,Biological,Bird_vocalization_and_bird_call_and_bird_song,Bird_vocalization_and_bird_call_and_bird_song,426563,Audio/Forest/426563,FSD50K,426563,,False
Forest_397661,Forest,Biological,Meow,Meow,397661,Audio/Forest/397661,FSD50K,397661,,False
Forest_365734,Forest,Biological,Chirp_and_tweet,Chirp_and_tweet,365734,Audio/Forest/365734,FSD50K,365734,,False
Forest_253672,Forest,Biological,Bird,Bird,253672,Audio/Forest/253672,FSD50K,253672,,False
Forest_326743,Forest,Biological,Animal,Animal,326743,Audio/Forest/326743,FSD50K,326743,,False
Forest_33373,Forest,Biological,Bird_vocalization_and_bird_call_and_bird_song,Bird_vocalization_and_bird_call_and_bird_song,33373,Audio/Forest/33373,FSD50K,33373,,False
Forest_210170,Forest,Biological,Growling,Growling,210170,Audio/Forest/210170,FSD50K,210170,,False
Forest_103420,Forest,Biological,Livestock_and_farm_animals_and_working_animals,Livestock_and_farm_animals_and_working_animals,103420,Audio/Forest/103420,FSD50K,103420,,False
Forest_408052,Forest,Biological,Chewing_and_mastication,Chewing_and_mastication,408052,Audio/Forest/408052,FSD50K,408052,,False
Forest_372531,Forest,Biological,Growling,Growling,372531,Audio/Forest/372531,FSD50K,372531,,False
