sound_id,original_fname,sub_category,audioset_class
ANI_379531,379531,Bark,Animal
ANI_236020,236020,Bark,Animal
ANI_379170,379170,Bark,Animal
ANI_74518,74518,Bark,Animal
ANI_390492,390492,Cat,Animal
ANI_58967,58967,Cat,Animal
ANI_390502,390502,Cat,Animal
ANI_164292,164292,Bird,Animal
ANI_341267,341267,Bird,Animal
ANI_121142,121142,Bird,Animal
ANI_69504,69504,Bird,Animal
ANI_245704,245704,Bird,Animal
ANI_62198,62198,Frog,Animal
ANI_414411,414411,Frog,Animal
ANI_273214,273214,Cricket,Animal
ANI_27272,27272,Cricket,Animal
ANI_232842,232842,Cricket,Animal
ANI_140829,140829,Farm_Animal,Animal
ANI_166745,166745,Farm_Animal,Animal
ANI_372534,372534,Wild_Animal,Animal
ANI_366052,366052,Wild_Animal,Animal
ANI_208843,208843,Wild_Animal,Animal
