sound_id,original_fname,sub_category,audioset_class
Animal_104604,104604,Bird,Bird
Animal_235865,235865,Bark,Bark
Animal_395883,395883,Screech,Screech
Animal_58981,58981,Meow,Meow
Animal_51095,51095,Chirp and tweet,Chirp and tweet
Animal_121375,121375,Bird,Bird
Animal_327138,327138,Bark,Bark
Animal_7454,7454,Cricket,Cricket
Animal_236275,236275,Bark,Bark
Animal_106953,106953,Frog,Frog
Animal_234259,234259,Dog,Dog
Animal_380350,380350,Bark,Bark
Animal_235913,235913,Bark,Bark
Animal_180052,180052,Bark,Bark
Animal_34688,34688,Bird,Bird
Animal_405486,405486,Bird,Bird
Animal_347259,347259,Chirp and tweet,Chirp and tweet
Animal_24925,24925,Hiss,Hiss
Animal_235869,235869,Bark,Bark
Animal_172143,172143,Cricket,Cricket
Animal_100041,100041,Crow,Crow
Animal_13597,13597,Cricket,Cricket
Animal_236261,236261,Dog,Dog
Animal_34694,34694,Bird,Bird
Animal_55065,55065,Dog,Dog
Animal_56765,56765,Frog,Frog
Animal_429120,429120,Purr,Purr
Animal_202407,202407,Meow,Meow
Animal_50136,50136,Bird,Bird
Animal_4917,4917,Dog,Dog
Animal_353450,353450,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_65598,65598,Purr,Purr
Animal_64401,64401,Bird,Bird
Animal_173913,173913,Bird,Bird
Animal_213138,213138,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_146343,146343,Bark,Bark
Animal_420449,420449,Bark,Bark
Animal_32247,32247,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_33641,33641,Bark,Bark
Animal_32592,32592,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_56511,56511,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_343927,343927,Hiss,Hiss
Animal_220018,220018,Meow,Meow
Animal_236061,236061,Bark,Bark
Animal_140327,140327,Insect,Insect
Animal_129678,129678,Cricket,Cricket
Animal_131478,131478,Bird,Bird
Animal_272364,272364,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_236226,236226,Bark,Bark
Animal_21890,21890,Cricket,Cricket
Animal_353308,353308,Cat,Cat
Animal_269111,269111,Hiss,Hiss
Animal_43358,43358,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_129264,129264,Crow,Crow
Animal_386663,386663,Bird,Bird
Animal_236185,236185,Bark,Bark
Animal_433698,433698,Bark,Bark
Animal_208850,208850,Bird,Bird
Animal_64013,64013,Cat,Cat
Animal_236230,236230,Bark,Bark
Animal_405487,405487,Bird,Bird
Animal_28284,28284,Bark,Bark
Animal_427871,427871,Growling,Growling
Animal_341896,341896,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_46128,46128,Bird,Bird
Animal_362426,362426,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_346933,346933,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_251670,251670,Bird,Bird
Animal_89503,89503,Meow,Meow
Animal_236197,236197,Bark,Bark
Animal_66248,66248,Hiss,Hiss
Animal_189546,189546,Bird,Bird
Animal_97381,97381,Cricket,Cricket
Animal_259169,259169,Meow,Meow
Animal_189521,189521,Bird,Bird
Animal_31830,31830,Insect,Insect
Animal_231922,231922,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_199631,199631,Meow,Meow
Animal_83928,83928,Cricket,Cricket
Animal_34689,34689,Bird,Bird
Animal_71201,71201,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_236128,236128,Bark,Bark
Animal_360409,360409,Bird,Bird
Animal_11722,11722,Bark,Bark
Animal_397915,397915,Gull and seagull,Gull and seagull
Animal_236080,236080,Dog,Dog
Animal_89506,89506,Meow,Meow
Animal_164488,164488,Bark,Bark
Animal_34594,34594,Bird,Bird
Animal_253716,253716,Crow,Crow
Animal_169021,169021,Gull and seagull,Gull and seagull
Animal_59186,59186,Bird,Bird
Animal_366120,366120,Chirp and tweet,Chirp and tweet
Animal_350592,350592,Growling,Growling
Animal_18966,18966,Buzz,Buzz
Animal_35421,35421,Bird,Bird
Animal_67446,67446,Meow,Meow
Animal_61072,61072,Meow,Meow
Animal_130971,130971,Cricket,Cricket
Animal_121511,121511,Cricket,Cricket
Animal_418159,418159,Meow,Meow
Animal_352983,352983,Dog,Dog
Animal_235878,235878,Dog,Dog
Animal_253680,253680,Bird,Bird
Animal_405756,405756,Hiss,Hiss
Animal_44526,44526,Bird,Bird
Animal_56868,56868,Meow,Meow
Animal_61259,61259,Meow,Meow
Animal_100892,100892,Bird,Bird
Animal_372523,372523,Bark,Bark
Animal_390502,390502,Meow,Meow
Animal_235915,235915,Dog,Dog
Animal_195871,195871,Cricket,Cricket
Animal_76196,76196,Cricket,Cricket
Animal_325466,325466,Bark,Bark
Animal_344678,344678,Chirp and tweet,Chirp and tweet
Animal_268018,268018,Bird,Bird
Animal_152815,152815,Dog,Dog
Animal_231550,231550,Hiss,Hiss
Animal_417713,417713,Bird,Bird
Animal_120960,120960,Dog,Dog
Animal_236081,236081,Dog,Dog
Animal_75656,75656,Gull and seagull,Gull and seagull
Animal_191433,191433,Bird,Bird
Animal_7973,7973,Insect,Insect
Animal_316917,316917,Bird,Bird
Animal_261336,261336,Growling,Growling
Animal_246013,246013,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_236272,236272,Bark,Bark
Animal_17161,17161,Cricket,Cricket
Animal_4912,4912,Bark,Bark
Animal_55133,55133,Insect,Insect
Animal_427085,427085,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_180941,180941,Dog,Dog
Animal_196127,196127,Bark,Bark
Animal_365179,365179,Purr,Purr
Animal_66763,66763,Crow,Crow
Animal_54058,54058,Meow,Meow
Animal_71012,71012,Dog,Dog
Animal_34593,34593,Bird,Bird
Animal_59343,59343,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song
Animal_95568,95568,Cricket,Cricket
Animal_236263,236263,Bark,Bark
Animal_43822,43822,Insect,Insect
