sound_id,original_fname,sub_category,audioset_class
Human_390256,390256,Crying and sobbing,Crying and sobbing
Human_340965,340965,Crowd,Crowd
Human_124795,124795,Breathing,Breathing
Human_403057,403057,Applause,Applause
Human_19152,19152,Laughter,Laughter
Human_60688,60688,Crowd,Crowd
Human_418831,418831,Laughter,Laughter
Human_150963,150963,Crowd,Crowd
Human_253533,253533,Laughter,Laughter
Human_394856,394856,Run,Run
Human_196087,196087,Laughter,Laughter
Human_9995,9995,Breathing,Breathing
Human_16357,16357,Laughter,Laughter
Human_344077,344077,Laughter,Laughter
Human_272556,272556,Run,Run
Human_175046,175046,Clapping,Clapping
Human_274636,274636,Applause,Applause
Human_4237,4237,Laughter,Laughter
Human_172398,172398,Breathing,Breathing
Human_277022,277022,Applause,Applause
Human_197271,197271,Crowd,Crowd
Human_434461,434461,Chewing and mastication,Chewing and mastication
Human_219903,219903,Gasp,Gasp
Human_231896,231896,Clapping,Clapping
Human_294425,294425,Laughter,Laughter
Human_363582,363582,Gasp,Gasp
Human_215333,215333,Burping and eructation,Burping and eructation
Human_323711,323711,Burping and eructation,Burping and eructation
Human_134720,134720,Laughter,Laughter
Human_197272,197272,Crowd,Crowd
Human_124025,124025,Crowd,Crowd
Human_61356,61356,Burping and eructation,Burping and eructation
Human_73087,73087,Clapping,Clapping
Human_109742,109742,Crowd,Crowd
Human_242867,242867,Breathing,Breathing
Human_171442,171442,Giggle,Giggle
Human_69202,69202,Run,Run
Human_259608,259608,Crying and sobbing,Crying and sobbing
Human_63609,63609,Applause,Applause
Human_353649,353649,Cough,Cough
Human_112257,112257,Cheering,Cheering
Human_361735,361735,Clapping,Clapping
Human_130037,130037,Finger snapping,Finger snapping
Human_156839,156839,Burping and eructation,Burping and eructation
Human_113521,113521,Crowd,Crowd
Human_389659,389659,Run,Run
Human_389640,389640,Laughter,Laughter
Human_353320,353320,Clapping,Clapping
Human_353154,353154,Breathing,Breathing
Human_210431,210431,Cough,Cough
Human_399762,399762,Burping and eructation,Burping and eructation
Human_180789,180789,Clapping,Clapping
Human_241905,241905,Applause,Applause
Human_216570,216570,Run,Run
Human_273406,273406,Run,Run
Human_407688,407688,Chewing and mastication,Chewing and mastication
Human_180752,180752,Clapping,Clapping
Human_274349,274349,Crowd,Crowd
Human_241546,241546,Laughter,Laughter
Human_2780,2780,Clapping,Clapping
Human_343984,343984,Giggle,Giggle
Human_148225,148225,Human voice,Human voice
Human_361706,361706,Clapping,Clapping
Human_381362,381362,Applause,Applause
Human_367737,367737,Chewing and mastication,Chewing and mastication
Human_165492,165492,Cheering,Cheering
Human_361757,361757,Finger snapping,Finger snapping
Human_197718,197718,Crying and sobbing,Crying and sobbing
Human_278931,278931,Run,Run
Human_377025,377025,Applause,Applause
Human_142603,142603,Cough,Cough
Human_183692,183692,Breathing,Breathing
Human_364724,364724,Finger snapping,Finger snapping
Human_387962,387962,Burping and eructation,Burping and eructation
Human_396891,396891,Breathing,Breathing
Human_155920,155920,Rattle,Rattle
Human_198337,198337,Crowd,Crowd
Human_124023,124023,Applause,Applause
Human_191911,191911,Applause,Applause
Human_412157,412157,Rattle,Rattle
Human_238819,238819,Laughter,Laughter
Human_85536,85536,Breathing,Breathing
Human_194268,194268,Clapping,Clapping
Human_217667,217667,Burping and eructation,Burping and eructation
Human_140228,140228,Gasp,Gasp
Human_32868,32868,Applause,Applause
Human_63621,63621,Laughter,Laughter
Human_150964,150964,Gasp,Gasp
Human_361766,361766,Finger snapping,Finger snapping
Human_406647,406647,Breathing,Breathing
Human_170332,170332,Laughter,Laughter
Human_428953,428953,Chewing and mastication,Chewing and mastication
Human_424866,424866,Chatter,Chatter
