sound_id,original_fname,sub_category,audioset_class
Human_19189,19189,Laughter,Laughter
Human_167578,167578,Laughter,Laughter
Human_170623,170623,Giggle,Giggle
Human_176913,176913,Breathing,Breathing
Human_323696,323696,Human voice,Human voice
Human_151217,151217,Cough,Cough
Human_151255,151255,Breathing,Breathing
Human_196084,196084,Laughter,Laughter
Human_215322,215322,Burping and eructation,Burping and eructation
Human_36162,36162,Applause,Applause
Human_82397,82397,Laughter,Laughter
Human_368804,368804,Sneeze,Sneeze
Human_160130,160130,Clapping,Clapping
Human_315940,315940,Laughter,Laughter
Human_215368,215368,Burping and eructation,Burping and eructation
Human_31991,31991,Applause,Applause
Human_180779,180779,Clapping,Clapping
Human_411170,411170,Chewing and mastication,Chewing and mastication
Human_198256,198256,Laughter,Laughter
Human_348749,348749,Run,Run
Human_361750,361750,Finger snapping,Finger snapping
Human_341282,341282,Laughter,Laughter
Human_154689,154689,Chewing and mastication,Chewing and mastication
Human_88707,88707,Clapping,Clapping
Human_432996,432996,Breathing,Breathing
Human_30035,30035,Applause,Applause
Human_343987,343987,Laughter,Laughter
Human_377395,377395,Clapping,Clapping
Human_22722,22722,Train,Train
Human_387406,387406,Laughter,Laughter
Human_399765,399765,Burping and eructation,Burping and eructation
Human_53663,53663,Cough,Cough
Human_216127,216127,Chewing and mastication,Chewing and mastication
Human_404545,404545,Clapping,Clapping
Human_416920,416920,Breathing,Breathing
Human_411068,411068,Sigh,Sigh
Human_325371,325371,Breathing,Breathing
Human_87797,87797,Cough,Cough
Human_273408,273408,Run,Run
Human_369834,369834,Run,Run
Human_272539,272539,Run,Run
Human_145487,145487,Cough,Cough
Human_83199,83199,Crowd,Crowd
Human_16201,16201,Laughter,Laughter
Human_187910,187910,Chewing and mastication,Chewing and mastication
Human_242911,242911,Crying and sobbing,Crying and sobbing
Human_254466,254466,Cough,Cough
Human_196080,196080,Laughter,Laughter
Human_201655,201655,Clapping,Clapping
Human_46372,46372,Laughter,Laughter
Human_93040,93040,Gasp,Gasp
Human_381355,381355,Applause,Applause
Human_232664,232664,Run,Run
Human_109620,109620,Laughter,Laughter
Human_238307,238307,Breathing,Breathing
Human_351424,351424,Laughter,Laughter
Human_47135,47135,Cough,Cough
Human_343910,343910,Human voice,Human voice
Human_196064,196064,Laughter,Laughter
Human_416510,416510,Gasp,Gasp
Human_252223,252223,Cough,Cough
Human_193510,193510,Laughter,Laughter
Human_10159,10159,Breathing,Breathing
Human_343478,343478,Applause,Applause
Human_250936,250936,Crowd,Crowd
Human_253603,253603,Cheering,Cheering
Human_201733,201733,Cough,Cough
Human_343943,343943,Laughter,Laughter
Human_19115,19115,Cough,Cough
Human_213209,213209,Run,Run
Human_160605,160605,Walk and footsteps,Walk and footsteps
Human_351994,351994,Clapping,Clapping
Human_347231,347231,Clapping,Clapping
Human_109625,109625,Laughter,Laughter
Human_333267,333267,Gasp,Gasp
Human_323448,323448,Breathing,Breathing
Human_242905,242905,Giggle,Giggle
Human_21183,21183,Clapping,Clapping
Human_75053,75053,Applause,Applause
Human_240365,240365,Breathing,Breathing
Human_9982,9982,Breathing,Breathing
Human_150955,150955,Crowd,Crowd
Human_404544,404544,Clapping,Clapping
Human_316948,316948,Breathing,Breathing
Human_216369,216369,Laughter,Laughter
Human_81087,81087,Cough,Cough
Human_32939,32939,Run,Run
Human_108513,108513,Applause,Applause
Human_406645,406645,Breathing,Breathing
Human_257915,257915,Finger snapping,Finger snapping
Human_265483,265483,Chewing and mastication,Chewing and mastication
Human_150969,150969,Crowd,Crowd
Human_184879,184879,Laughter,Laughter
Human_157038,157038,Run,Run
Human_273111,273111,Run,Run
Human_82800,82800,Cheering,Cheering
Human_277552,277552,Chuckle and chortle,Chuckle and chortle
Human_404546,404546,Clapping,Clapping
Human_257787,257787,Breathing,Breathing
Human_182017,182017,Giggle,Giggle
Human_175050,175050,Clapping,Clapping
Human_346790,346790,Finger snapping,Finger snapping
Human_343895,343895,Giggle,Giggle
Human_88691,88691,Finger snapping,Finger snapping
Human_194260,194260,Clapping,Clapping
Human_346795,346795,Finger snapping,Finger snapping
Human_267159,267159,Laughter,Laughter
Human_60801,60801,Crowd,Crowd
Human_273112,273112,Run,Run
Human_156839,156839,Burping and eructation,Burping and eructation
Human_241896,241896,Applause,Applause
Human_240856,240856,Laughter,Laughter
Human_335233,335233,Subway and metro and underground,Subway and metro and underground
Human_231893,231893,Clapping,Clapping
Human_101157,101157,Burping and eructation,Burping and eructation
Human_254474,254474,Crying and sobbing,Crying and sobbing
Human_171121,171121,Laughter,Laughter
Human_241529,241529,Laughter,Laughter
Human_15390,15390,Clapping,Clapping
Human_368385,368385,Giggle,Giggle
Human_273409,273409,Run,Run
Human_180771,180771,Clapping,Clapping
