sound_id,original_fname,sub_category,audioset_class
LAB_41337,41337,Bell,Bell
LAB_179173,179173,Bell,Bell
LAB_265638,265638,Bell,Bell
LAB_44159,44159,Bell,Bell
LAB_339812,339812,Bell,Bell
LAB_329893,329893,Clock,Clock
LAB_265577,265577,Clock,Clock
LAB_60811,60811,Clock,Clock
LAB_429113,429113,Clock,Clock
LAB_349826,349826,Explosion,Explosion
LAB_2510,2510,Explosion,Explosion
LAB_21410,21410,Explosion,Explosion
LAB_164646,164646,Explosion,Explosion
LAB_402204,402204,Whoosh,Whoosh_and_swoosh_and_swish
LAB_60024,60024,Whoosh,Whoosh_and_swoosh_and_swish
LAB_395266,395266,Whoosh,Whoosh_and_swoosh_and_swish
LAB_368344,368344,Glass,Glass
LAB_242444,242444,Glass,Glass
LAB_434440,434440,Glass,Glass
LAB_27701,27701,Glass,Glass
LAB_394296,394296,Typing,Computer_keyboard
LAB_335020,335020,Typing,Computer_keyboard
LAB_426259,426259,Typing,Typing
LAB_277300,277300,Typing,Typewriter
LAB_118256,118256,Crackle,Crack
LAB_196353,196353,Crackle,Crackle
LAB_334393,334393,Crackle,Crack
LAB_378270,378270,Misc_Mech,Mechanisms
LAB_336202,336202,Misc_Mech,Keys_jangling
LAB_219491,219491,Misc_Mech,Mechanisms
