sound_id,original_fname,sub_category,audioset_class
Lab_195624,195624,Shatter,Shatter
Lab_83690,83690,Computer keyboard,Computer keyboard
Lab_88933,88933,Shatter,Shatter
Lab_329546,329546,Mechanical fan,Mechanical fan
Lab_255668,255668,Glass,Glass
Lab_181377,181377,Explosion,Explosion
Lab_27619,27619,Fireworks,Fireworks
Lab_325667,325667,Fireworks,Fireworks
Lab_88928,88928,Shatter,Shatter
Lab_408233,408233,Bell,Bell
Lab_408218,408218,Shatter,Shatter
Lab_368352,368352,Shatter,Shatter
Lab_362487,362487,Gunshot and gunfire,Gunshot and gunfire
Lab_113749,113749,Explosion,Explosion
Lab_141680,141680,Chink and clink,Chink and clink
Lab_89809,89809,Glass,Glass
Lab_434231,434231,Fireworks,Fireworks
Lab_216878,216878,Squeak,Squeak
Lab_326291,326291,Computer keyboard,Computer keyboard
Lab_133889,133889,Knock,Knock
Lab_333575,333575,Computer keyboard,Computer keyboard
Lab_162169,162169,Shatter,Shatter
Lab_352669,352669,Ringtone,Ringtone
Lab_339646,339646,Chink and clink,Chink and clink
Lab_434269,434269,Fireworks,Fireworks
Lab_156615,156615,Explosion,Explosion
Lab_198334,198334,Fireworks,Fireworks
Lab_347311,347311,Boom,Boom
Lab_204697,204697,Shatter,Shatter
Lab_233486,233486,Knock,Knock
Lab_400385,400385,Squeak,Squeak
Lab_94683,94683,Chink and clink,Chink and clink
Lab_250103,250103,Squeak,Squeak
Lab_108842,108842,Tick,Tick
Lab_62940,62940,Glass,Glass
Lab_151837,151837,Squeak,Squeak
Lab_277721,277721,Typewriter,Typewriter
Lab_427598,427598,Gunshot and gunfire,Gunshot and gunfire
Lab_211157,211157,Chink and clink,Chink and clink
Lab_401609,401609,Explosion,Explosion
Lab_378853,378853,Chink and clink,Chink and clink
Lab_86820,86820,Computer keyboard,Computer keyboard
Lab_193968,193968,Typewriter,Typewriter
Lab_164571,164571,Knock,Knock
Lab_15548,15548,Wind chime,Wind chime
Lab_41348,41348,Shatter,Shatter
Lab_174865,174865,Chink and clink,Chink and clink
Lab_219048,219048,Church bell,Church bell
Lab_164328,164328,Shatter,Shatter
Lab_216276,216276,Explosion,Explosion
Lab_242376,242376,Glass,Glass
Lab_204465,204465,Typewriter,Typewriter
Lab_23499,23499,Squeak,Squeak
Lab_45643,45643,Squeak,Squeak
Lab_69511,69511,Bell,Bell
Lab_67574,67574,Gunshot and gunfire,Gunshot and gunfire
Lab_35799,35799,Gunshot and gunfire,Gunshot and gunfire
Lab_406719,406719,Chink and clink,Chink and clink
Lab_344063,344063,Squeak,Squeak
Lab_264142,264142,Squeak,Squeak
Lab_219551,219551,Dishes and pots and pans,Dishes and pots and pans
Lab_90553,90553,Cowbell,Cowbell
Lab_180675,180675,Squeak,Squeak
Lab_394128,394128,Explosion,Explosion
Lab_151065,151065,Gunshot and gunfire,Gunshot and gunfire
Lab_161969,161969,Gunshot and gunfire,Gunshot and gunfire
Lab_163731,163731,Fill (with liquid),Fill (with liquid)
Lab_259671,259671,Chink and clink,Chink and clink
Lab_238245,238245,Gunshot and gunfire,Gunshot and gunfire
Lab_261391,261391,Bell,Bell
Lab_434423,434423,Boom,Boom
Lab_233605,233605,Shatter,Shatter
Lab_65294,65294,Bell,Bell
Lab_372346,372346,Bell,Bell
Lab_114042,114042,Knock,Knock
Lab_120528,120528,Fill (with liquid),Fill (with liquid)
Lab_104000,104000,Knock,Knock
Lab_162431,162431,Gunshot and gunfire,Gunshot and gunfire
Lab_365490,365490,Computer keyboard,Computer keyboard
Lab_187767,187767,Gunshot and gunfire,Gunshot and gunfire
Lab_379187,379187,Chink and clink,Chink and clink
Lab_410888,410888,Clapping,Clapping
Lab_51711,51711,Chime,Chime
Lab_203380,203380,Shatter,Shatter
Lab_275911,275911,Knock,Knock
Lab_139053,139053,Bell,Bell
Lab_381526,381526,Gunshot and gunfire,Gunshot and gunfire
Lab_414588,414588,Bell,Bell
Lab_90557,90557,Cowbell,Cowbell
Lab_349814,349814,Fireworks,Fireworks
Lab_383988,383988,Shatter,Shatter
Lab_184651,184651,Gunshot and gunfire,Gunshot and gunfire
Lab_216277,216277,Explosion,Explosion
Lab_223101,223101,Computer keyboard,Computer keyboard
Lab_349786,349786,Fireworks,Fireworks
Lab_212683,212683,Fireworks,Fireworks
Lab_268826,268826,Computer keyboard,Computer keyboard
Lab_235254,235254,Typing,Typing
Lab_377640,377640,Bell,Bell
Lab_148949,148949,Squeak,Squeak
Lab_158425,158425,Explosion,Explosion
Lab_145206,145206,Gunshot and gunfire,Gunshot and gunfire
Lab_117289,117289,Squeak,Squeak
Lab_362471,362471,Gunshot and gunfire,Gunshot and gunfire
Lab_341413,341413,Coin (dropping),Coin (dropping)
Lab_267302,267302,Computer keyboard,Computer keyboard
Lab_434228,434228,Fireworks,Fireworks
Lab_23090,23090,Church bell,Church bell
Lab_238241,238241,Gunshot and gunfire,Gunshot and gunfire
Lab_180676,180676,Squeak,Squeak
Lab_77326,77326,Computer keyboard,Computer keyboard
Lab_54829,54829,Computer keyboard,Computer keyboard
Lab_57479,57479,Squeak,Squeak
Lab_352065,352065,Chink and clink,Chink and clink
Lab_90969,90969,Cowbell,Cowbell
Lab_423491,423491,Wind chime,Wind chime
Lab_90551,90551,Cowbell,Cowbell
Lab_411749,411749,Bell,Bell
Lab_186967,186967,Boom,Boom
Lab_434427,434427,Boom,Boom
Lab_365073,365073,Typing,Typing
Lab_140222,140222,Squeak,Squeak
Lab_343091,343091,Hiss,Hiss
Lab_67560,67560,Gunshot and gunfire,Gunshot and gunfire
Lab_90548,90548,Cowbell,Cowbell
