sound_id,original_fname,sub_category,audioset_class
MUS_381293,381293,Piano,Keyboard_(musical)
MUS_148756,148756,Piano,Keyboard_(musical)
MUS_316903,316903,Piano,Keyboard_(musical)
MUS_4283,4283,Guitar,Electric_guitar
MUS_97630,97630,Guitar,Electric_guitar
MUS_153981,153981,Guitar,Acoustic_guitar
MUS_372389,372389,Electric_Guitar,Electric_guitar
MUS_239720,239720,Electric_Guitar,Bass_guitar
MUS_28435,28435,Drum,Drum
MUS_47556,47556,Drum,Bass_drum
MUS_323005,323005,Drum,Drum
MUS_140663,140663,Cymbal,Crash_cymbal
MUS_137505,137505,Cymbal,Cymbal
MUS_354688,354688,Brass,Wind_instrument_and_woodwind_instrument
MUS_13433,13433,Brass,Wind_instrument_and_woodwind_instrument
MUS_374526,374526,String,Bowed_string_instrument
MUS_383645,383645,String,Bowed_string_instrument
MUS_369292,369292,Keys,Harmonica
MUS_148514,148514,Keys,Keyboard_(musical)
MUS_64760,64760,Other,Electric_guitar
MUS_16399,16399,Other,Electric_guitar
