sound_id,original_fname,sub_category,audioset_class
Music_239714,239714,Bass guitar,Bass guitar
Music_65653,65653,Piano,Piano
Music_355290,355290,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_372775,372775,Bowed string instrument,Bowed string instrument
Music_239986,239986,Bass guitar,Bass guitar
Music_373798,373798,Bowed string instrument,Bowed string instrument
Music_358114,358114,Bowed string instrument,Bowed string instrument
Music_97188,97188,Guitar,Guitar
Music_153925,153925,Bowed string instrument,Bowed string instrument
Music_119287,119287,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_12765,12765,Piano,Piano
Music_175455,175455,Male singing,Male singing
Music_373903,373903,Bowed string instrument,Bowed string instrument
Music_356176,356176,Bowed string instrument,Bowed string instrument
Music_246752,246752,Bowed string instrument,Bowed string instrument
Music_152267,152267,Snare drum,Snare drum
Music_357485,357485,Trumpet,Trumpet
Music_359500,359500,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_222326,222326,Gong,Gong
Music_431355,431355,Organ,Organ
Music_264783,264783,Snare drum,Snare drum
Music_239782,239782,Bass guitar,Bass guitar
Music_357657,357657,Trumpet,Trumpet
Music_418745,418745,Drum kit,Drum kit
Music_372619,372619,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_98494,98494,Gong,Gong
Music_346521,346521,Rattle (instrument),Rattle (instrument)
Music_116357,116357,Mallet percussion,Mallet percussion
Music_350221,350221,Acoustic guitar,Acoustic guitar
Music_152240,152240,Snare drum,Snare drum
Music_246980,246980,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_97627,97627,Electric guitar,Electric guitar
Music_18495,18495,Acoustic guitar,Acoustic guitar
Music_383558,383558,Bowed string instrument,Bowed string instrument
Music_356046,356046,Bowed string instrument,Bowed string instrument
Music_354917,354917,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_247009,247009,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_247662,247662,Bowed string instrument,Bowed string instrument
Music_360001,360001,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_26097,26097,Singing,Singing
Music_357652,357652,Trumpet,Trumpet
Music_372643,372643,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_116877,116877,Harmonica,Harmonica
Music_246620,246620,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_40209,40209,Bass guitar,Bass guitar
Music_421,421,Hi-hat,Hi-hat
Music_77712,77712,Trumpet,Trumpet
Music_119361,119361,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_382502,382502,Piano,Piano
Music_354259,354259,Bowed string instrument,Bowed string instrument
Music_14299,14299,Strum,Strum
Music_255690,255690,Marimba and xylophone,Marimba and xylophone
Music_153792,153792,Bowed string instrument,Bowed string instrument
Music_132991,132991,Female singing,Female singing
Music_271512,271512,Bowed string instrument,Bowed string instrument
Music_232715,232715,Electric guitar,Electric guitar
Music_26140,26140,Gong,Gong
Music_10649,10649,Bowed string instrument,Bowed string instrument
Music_116348,116348,Mallet percussion,Mallet percussion
Music_348885,348885,Glockenspiel,Glockenspiel
Music_354975,354975,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_372674,372674,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_357612,357612,Trumpet,Trumpet
Music_355218,355218,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_355085,355085,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_10608,10608,Bowed string instrument,Bowed string instrument
Music_119322,119322,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_357767,357767,Trumpet,Trumpet
Music_247360,247360,Trumpet,Trumpet
Music_358356,358356,Bowed string instrument,Bowed string instrument
Music_359831,359831,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_253310,253310,Organ,Organ
Music_200527,200527,Snare drum,Snare drum
Music_359459,359459,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_373574,373574,Harp,Harp
Music_23946,23946,Bowed string instrument,Bowed string instrument
Music_357582,357582,Trumpet,Trumpet
Music_175464,175464,Male singing,Male singing
Music_136960,136960,Plucked string instrument,Plucked string instrument
Music_99248,99248,Ratchet and pawl,Ratchet and pawl
Music_415380,415380,Acoustic guitar,Acoustic guitar
Music_373344,373344,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_48685,48685,Bowed string instrument,Bowed string instrument
Music_148480,148480,Piano,Piano
Music_247254,247254,Trumpet,Trumpet
Music_48365,48365,Guitar,Guitar
Music_64708,64708,Electric guitar,Electric guitar
Music_208275,208275,Snare drum,Snare drum
Music_372618,372618,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_388687,388687,Rattle (instrument),Rattle (instrument)
Music_357517,357517,Trumpet,Trumpet
Music_357046,357046,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_399085,399085,Piano,Piano
Music_247962,247962,Bowed string instrument,Bowed string instrument
Music_405807,405807,Organ,Organ
Music_29830,29830,Piano,Piano
Music_355973,355973,Bowed string instrument,Bowed string instrument
Music_97635,97635,Electric guitar,Electric guitar
Music_355165,355165,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_183055,183055,Acoustic guitar,Acoustic guitar
Music_138791,138791,Hi-hat,Hi-hat
Music_110414,110414,Church bell,Church bell
Music_381178,381178,Marimba and xylophone,Marimba and xylophone
Music_229346,229346,Drum,Drum
Music_145997,145997,Snare drum,Snare drum
Music_175502,175502,Male singing,Male singing
Music_24840,24840,Drum,Drum
Music_76657,76657,Male singing,Male singing
Music_145948,145948,Snare drum,Snare drum
Music_355077,355077,Wind instrument and woodwind instrument,Wind instrument and woodwind instrument
Music_210669,210669,Tambourine,Tambourine
Music_142069,142069,Snare drum,Snare drum
Music_426035,426035,Drum,Drum
Music_58657,58657,Organ,Organ
Music_53860,53860,Harp,Harp
Music_245064,245064,Organ,Organ
Music_374097,374097,Trumpet,Trumpet
Music_35084,35084,Drum kit,Drum kit
