sound_id,original_fname,sub_category,audioset_class
Nature_395245,395245,Stream,Stream
Nature_94830,94830,Stream,Stream
Nature_27243,27243,Thunder,Thunder
Nature_213802,213802,Hiss,Hiss
Nature_4211,4211,Crackle,Crackle
Nature_156318,156318,Crackle,Crackle
Nature_91514,91514,Gurgling,Gurgling
Nature_188572,188572,Wind,Wind
Nature_398716,398716,Water,Water
Nature_51032,51032,Wind,Wind
Nature_186924,186924,Fire,Fire
Nature_367318,367318,Fire,Fire
Nature_262053,262053,Stream,Stream
Nature_323046,323046,Water,Water
Nature_321423,321423,Thunder,Thunder
Nature_237410,237410,Thunder,Thunder
Nature_57881,57881,Ocean,Ocean
Nature_95106,95106,Crackle,Crackle
Nature_237731,237731,Thunder,Thunder
Nature_103606,103606,Waves and surf,Waves and surf
Nature_174703,174703,Water,Water
Nature_207251,207251,Wind,Wind
Nature_339448,339448,Crackle,Crackle
Nature_37353,37353,Thunder,Thunder
Nature_199959,199959,Thunder,Thunder
Nature_216936,216936,Wind,Wind
Nature_50362,50362,Thunder,Thunder
Nature_13564,13564,Gull and seagull,Gull and seagull
Nature_166550,166550,Fire,Fire
Nature_207615,207615,Drip,Drip
Nature_104990,104990,Bathtub (filling or washing),Bathtub (filling or washing)
Nature_338372,338372,Rain,Rain
Nature_49158,49158,Crackle,Crackle
Nature_386162,386162,Fire,Fire
Nature_156310,156310,Crackle,Crackle
Nature_393003,393003,Wind,Wind
Nature_158984,158984,Thunder,Thunder
Nature_65174,65174,Fire,Fire
Nature_77585,77585,Thunder,Thunder
Nature_369410,369410,Fire,Fire
Nature_270852,270852,Waves and surf,Waves and surf
Nature_36269,36269,Crackle,Crackle
Nature_379905,379905,Water,Water
Nature_405481,405481,Thunder,Thunder
Nature_337500,337500,Gurgling,Gurgling
Nature_215712,215712,Water,Water
Nature_5997,5997,Wind,Wind
Nature_57968,57968,Thunder,Thunder
Nature_17921,17921,Rain,Rain
Nature_406761,406761,Raindrop,Raindrop
Nature_250317,250317,Water,Water
Nature_406762,406762,Raindrop,Raindrop
Nature_263154,263154,Waves and surf,Waves and surf
Nature_27738,27738,Wind,Wind
Nature_209027,209027,Wind,Wind
Nature_337488,337488,Gurgling,Gurgling
Nature_371717,371717,Wind,Wind
Nature_423889,423889,Crackle,Crackle
Nature_407011,407011,Wind,Wind
Nature_386033,386033,Wind,Wind
Nature_60850,60850,Ocean,Ocean
Nature_58501,58501,Waves and surf,Waves and surf
Nature_422741,422741,Crackle,Crackle
Nature_33246,33246,Thunder,Thunder
Nature_399220,399220,Crackle,Crackle
Nature_202150,202150,Stream,Stream
Nature_393076,393076,Fire,Fire
Nature_351746,351746,Waves and surf,Waves and surf
Nature_257743,257743,Fire,Fire
Nature_56963,56963,Thunder,Thunder
Nature_97386,97386,Stream,Stream
