sound_id,original_fname,sub_category,audioset_class
URB_236904,236904,Car,Motor_vehicle_(road)
URB_237,237,Car,Car
URB_147840,147840,Car,Car
URB_17910,17910,Car,Car
URB_87316,87316,Truck_Bus,Bus
URB_380320,380320,Truck_Bus,Bus
URB_362120,362120,Truck_Bus,Motor_vehicle_(road)
URB_77669,77669,Motorcycle,Car
URB_211667,211667,Motorcycle,Motor_vehicle_(road)
URB_82687,82687,Train,Rail_transport
URB_12698,12698,Train,Rail_transport
URB_149211,149211,Train,Rail_transport
URB_376697,376697,Aircraft,Aircraft
URB_327538,327538,Aircraft,Aircraft
URB_315758,315758,Siren,Motor_vehicle_(road)
URB_58371,58371,Siren,Motor_vehicle_(road)
URB_415199,415199,Construction,Drill
URB_387698,387698,Construction,Drill
URB_179866,179866,Traffic,Car
URB_156195,156195,Traffic,Motor_vehicle_(road)
