sound_id,original_fname,sub_category,audioset_class
Urban_204466,204466,Typewriter,Typewriter
Urban_245693,245693,Motorcycle,Motorcycle
Urban_36835,36835,Car,Car
Urban_169165,169165,Sawing,Sawing
Urban_96159,96159,Drill,Drill
Urban_337257,337257,Alarm,Alarm
Urban_127555,127555,Squeak,Squeak
Urban_18068,18068,Squeak,Squeak
Urban_265755,265755,Telephone,Telephone
Urban_315734,315734,Car,Car
Urban_231448,231448,Truck,Truck
Urban_71740,71740,Accelerating and revving and vroom,Accelerating and revving and vroom
Urban_71087,71087,Drill,Drill
Urban_50896,50896,Engine starting,Engine starting
Urban_324120,324120,Typing,Typing
Urban_232274,232274,Male speech and man speaking,Male speech and man speaking
Urban_83704,83704,Telephone,Telephone
Urban_345421,345421,Telephone,Telephone
Urban_117922,117922,Telephone,Telephone
Urban_104095,104095,Squeak,Squeak
Urban_317525,317525,Squeak,Squeak
Urban_386260,386260,Drill,Drill
Urban_434660,434660,Engine starting,Engine starting
Urban_49099,49099,Engine,Engine
Urban_366197,366197,Sawing,Sawing
Urban_51049,51049,Squeak,Squeak
Urban_270493,270493,Engine,Engine
Urban_253313,253313,Alarm,Alarm
Urban_353711,353711,Computer keyboard,Computer keyboard
Urban_232301,232301,Car,Car
Urban_125102,125102,Alarm,Alarm
Urban_24585,24585,Car,Car
Urban_156831,156831,Alarm,Alarm
Urban_387807,387807,Engine,Engine
Urban_19982,19982,Car,Car
Urban_118971,118971,Engine,Engine
Urban_183604,183604,Squeak,Squeak
Urban_174826,174826,Car,Car
Urban_409040,409040,Sawing,Sawing
Urban_44762,44762,Accelerating and revving and vroom,Accelerating and revving and vroom
Urban_186939,186939,Idling,Idling
Urban_250526,250526,Squeak,Squeak
Urban_349171,349171,Motor vehicle (road),Motor vehicle (road)
Urban_351542,351542,Telephone,Telephone
Urban_216005,216005,Computer keyboard,Computer keyboard
Urban_147148,147148,Bus,Bus
Urban_175855,175855,Vehicle horn and car horn and honking,Vehicle horn and car horn and honking
Urban_274999,274999,Squeak,Squeak
Urban_193960,193960,Typewriter,Typewriter
Urban_427015,427015,Accelerating and revving and vroom,Accelerating and revving and vroom
Urban_352667,352667,Ringtone,Ringtone
Urban_207751,207751,Alarm,Alarm
Urban_96157,96157,Drill,Drill
Urban_113342,113342,Bus,Bus
Urban_332385,332385,Idling,Idling
