sound_id,game_zone,source_type,sub_category,audioset_class,all_labels,fname,file_path,source_dataset,original_fname,duration_sec,ambiguous
Animal_77589,Animal,Biological,Thunder,Thunder,"Thunder, Cricket, Thunderstorm, Insect, Wild animals, Animal",77589,Audio/Animal/77589,FSD50K,77589,,False
Animal_116226,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",116226,Audio/Animal/116226,FSD50K,116226,,False
Animal_243044,Animal,Biological,Insect,Insect,"Insect, Wild animals, Animal",243044,Audio/Animal/243044,FSD50K,243044,,False
Animal_32797,Animal,Biological,Frog,Frog,"Frog, Wild animals, Animal",32797,Audio/Animal/32797,FSD50K,32797,,False
Animal_114436,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",114436,Audio/Animal/114436,FSD50K,114436,,False
Animal_360411,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",360411,Audio/Animal/360411,FSD50K,360411,,False
Animal_236250,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236250,Audio/Animal/236250,FSD50K,236250,,False
Animal_62212,Animal,Biological,Meow,Meow,"Meow, Cat, Domestic animals and pets, Animal",62212,Audio/Animal/62212,FSD50K,62212,,False
Animal_393569,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",393569,Audio/Animal/393569,FSD50K,393569,,False
Animal_236172,Animal,Biological,Bark,Bark,"Bark, Dog, Domestic animals and pets, Animal",236172,Audio/Animal/236172,FSD50K,236172,,False
Animal_103048,Animal,Biological,Insect,Insect,"Insect, Wild animals, Animal",103048,Audio/Animal/103048,FSD50K,103048,,False
Animal_111325,Animal,Biological,Insect,Insect,"Insect, Wild animals, Animal",111325,Audio/Animal/111325,FSD50K,111325,,False
Animal_100248,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",100248,Audio/Animal/100248,FSD50K,100248,,False
Animal_60992,Animal,Biological,Dog,Dog,"Dog, Domestic animals and pets, Animal",60992,Audio/Animal/60992,FSD50K,60992,,False
Animal_155577,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",155577,Audio/Animal/155577,FSD50K,155577,,False
Animal_216934,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",216934,Audio/Animal/216934,FSD50K,216934,,False
Animal_429691,Animal,Biological,Bird vocalization and bird call and bird song,Bird vocalization and bird call and bird song,"Bird vocalization and bird call and bird song, Bird, Wild animals, Animal",429691,Audio/Animal/429691,FSD50K,429691,,False
Animal_266354,Animal,Biological,Bird,Bird,"Bird, Wild animals, Animal",266354,Audio/Animal/266354,FSD50K,266354,,False
